hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[256, 128, 64]",33,16,0.01,0.1,0.00476248562335968,0.9779785779916494
"[256, 128, 64]",13,16,0.01,0.2,0.005696502514183521,0.9730125728589899
"[256, 128, 64]",27,16,0.001,0.0,0.00911570992320776,0.9606144628449195
"[256, 128, 64]",69,16,0.001,0.1,0.005161340814083815,0.9766509449947947
"[256, 128, 64]",65,16,0.001,0.2,0.005101453512907028,0.9761470091568484
"[256, 128, 64]",7,32,0.01,0.0,0.005543655715882778,0.9761638728570464
"[256, 128, 64]",19,32,0.01,0.1,0.005005309358239174,0.9772583638708116
"[256, 128, 64]",5,32,0.01,0.2,0.006708918604999781,0.9688562535589575
"[256, 128, 64]",68,32,0.001,0.0,0.009129386395215988,0.9608386622809097
"[256, 128, 64]",159,32,0.001,0.1,0.004894872661679983,0.9780599988686643
"[256, 128, 64]",100,32,0.001,0.2,0.005276454146951437,0.975582179014033
"[256, 128, 64]",18,64,0.01,0.0,0.005959007889032364,0.9740822343331605
"[256, 128, 64]",57,64,0.01,0.1,0.004987080115824938,0.9770809959340904
"[256, 128, 64]",43,64,0.01,0.2,0.0050369142554700375,0.9776402467137851
"[256, 128, 64]",89,64,0.001,0.0,0.009594554081559181,0.9578617603465179
"[256, 128, 64]",174,64,0.001,0.1,0.005296971648931503,0.9762574359073577
"[256, 128, 64]",102,64,0.001,0.2,0.00582018680870533,0.9728506378137003
"[256, 128, 64]",28,128,0.01,0.0,0.005859506316483021,0.974079961330648
"[256, 128, 64]",60,128,0.01,0.1,0.004962516948580742,0.9776048068854917
"[256, 128, 64]",30,128,0.01,0.2,0.006430100183933973,0.9675186224496215
"[256, 128, 64]",198,128,0.001,0.0,0.00958157330751419,0.9586531445070701
"[256, 128, 64]",196,128,0.001,0.1,0.0063738166354596615,0.9714687985718025
"[256, 128, 64]",118,128,0.001,0.2,0.00755638163536787,0.9638469427360141
"[256, 128, 64]",65,256,0.01,0.0,0.0061050946824252605,0.9734073430778952
"[256, 128, 64]",111,256,0.01,0.1,0.00513946358114481,0.9769020868887494
"[256, 128, 64]",44,256,0.01,0.2,0.006300847977399826,0.9690680166415229
"[256, 128, 64]",200,256,0.001,0.0,0.010414437390863895,0.9549130913672895
"[256, 128, 64]",195,256,0.001,0.1,0.007743577007204294,0.9647414171079852
"[256, 128, 64]",197,256,0.001,0.2,0.007974655367434025,0.9623471104167146
"[256, 128, 256]",12,16,0.01,0.0,0.00555309047922492,0.9758440362955797
"[256, 128, 256]",4,16,0.01,0.1,0.0060517191886901855,0.9709917453821487
"[256, 128, 256]",2,16,0.01,0.2,0.01094361487776041,0.9373396563691321
"[256, 128, 256]",23,16,0.001,0.0,0.009000487625598907,0.960520613451845
"[256, 128, 256]",27,16,0.001,0.1,0.007194202393293381,0.9663258698922096
"[256, 128, 256]",21,16,0.001,0.2,0.01450504083186388,0.9178403981829373
"[256, 128, 256]",14,32,0.01,0.0,0.00591629883274436,0.9740656173299956
"[256, 128, 256]",20,32,0.01,0.1,0.0056127444840967655,0.9727737670814577
"[256, 128, 256]",3,32,0.01,0.2,0.011736716143786907,0.9318534706716604
"[256, 128, 256]",54,32,0.001,0.0,0.010580322705209255,0.9547725419688975
"[256, 128, 256]",27,32,0.001,0.1,0.007927903905510902,0.9632429426462124
"[256, 128, 256]",20,32,0.001,0.2,0.014654156751930714,0.9184000616960786
"[256, 128, 256]",15,64,0.01,0.0,0.0062153940089046955,0.9729929400006023
"[256, 128, 256]",28,64,0.01,0.1,0.005737294442951679,0.9718883347359225
"[256, 128, 256]",13,64,0.01,0.2,0.010666956193745136,0.9368125359650552
"[256, 128, 256]",106,64,0.001,0.0,0.010489927604794502,0.9547223643507736
"[256, 128, 256]",71,64,0.001,0.1,0.0071839019656181335,0.9663874297424164
"[256, 128, 256]",26,64,0.001,0.2,0.015195521526038647,0.9191653220045022
"[256, 128, 256]",22,128,0.01,0.0,0.006822212133556604,0.9698662353580296
"[256, 128, 256]",17,128,0.01,0.1,0.00677177868783474,0.9668933881003691
"[256, 128, 256]",14,128,0.01,0.2,0.011727903969585896,0.9362415389431683
"[256, 128, 256]",181,128,0.001,0.0,0.010634517297148705,0.9540817255638387
"[256, 128, 256]",104,128,0.001,0.1,0.00800748448818922,0.9624143092880562
"[256, 128, 256]",42,128,0.001,0.2,0.015503546223044395,0.9175487038328501
"[256, 128, 256]",58,256,0.01,0.0,0.0070754168555140495,0.9690656829693355
"[256, 128, 256]",43,256,0.01,0.1,0.007276626769453287,0.9648982623958847
"[256, 128, 256]",23,256,0.01,0.2,0.011995741166174412,0.9372813699826057
"[256, 128, 256]",198,256,0.001,0.0,0.011316899210214615,0.9509542471740194
"[256, 128, 256]",118,256,0.001,0.1,0.00956209097057581,0.9549369146810981
"[256, 128, 256]",65,256,0.001,0.2,0.019356489181518555,0.8935165638245144
"[256, 256, 256]",12,16,0.01,0.0,0.005229082424193621,0.9767761815252909
"[256, 256, 256]",12,16,0.01,0.1,0.005454639904201031,0.9733900277130235
"[256, 256, 256]",10,16,0.01,0.2,0.00823583547025919,0.9534414984287868
"[256, 256, 256]",26,16,0.001,0.0,0.009843246079981327,0.9571214289592938
"[256, 256, 256]",43,16,0.001,0.1,0.006600870750844479,0.9695300999606434
"[256, 256, 256]",36,16,0.001,0.2,0.008566119708120823,0.958225228068965
"[256, 256, 256]",9,32,0.01,0.0,0.006295798346400261,0.97208908133633
"[256, 256, 256]",14,32,0.01,0.1,0.005296357907354832,0.9753852552853562
"[256, 256, 256]",5,32,0.01,0.2,0.007230826187878847,0.9629812722610512
"[256, 256, 256]",60,32,0.001,0.0,0.009743125177919865,0.9582770121521323
"[256, 256, 256]",67,32,0.001,0.1,0.006712313741445541,0.9690347647119374
"[256, 256, 256]",29,32,0.001,0.2,0.012582437135279179,0.9347560956790939
"[256, 256, 256]",17,64,0.01,0.0,0.006625035777688026,0.9709933317393911
"[256, 256, 256]",24,64,0.01,0.1,0.005712347570806742,0.9737448032764711
"[256, 256, 256]",15,64,0.01,0.2,0.008443821221590042,0.9542619663681753
"[256, 256, 256]",92,64,0.001,0.0,0.011135785840451717,0.952590648839447
"[256, 256, 256]",77,64,0.001,0.1,0.007938933558762074,0.9630715301488413
"[256, 256, 256]",50,64,0.001,0.2,0.013246282003819942,0.9317333826336442
"[256, 256, 256]",31,128,0.01,0.0,0.0070136417634785175,0.9688640408159416
"[256, 256, 256]",53,128,0.01,0.1,0.005514086689800024,0.9748009452192651
"[256, 256, 256]",17,128,0.01,0.2,0.010476216673851013,0.9466221848079681
"[256, 256, 256]",155,128,0.001,0.0,0.011841360479593277,0.9483427225310083
"[256, 256, 256]",91,128,0.001,0.1,0.009026884101331234,0.9583893903397173
"[256, 256, 256]",72,128,0.001,0.2,0.013856261968612671,0.9282709635408797
"[256, 256, 256]",49,256,0.01,0.0,0.006915930192917585,0.9695825385968015
"[256, 256, 256]",58,256,0.01,0.1,0.00674687884747982,0.9682695090155097
"[256, 256, 256]",45,256,0.01,0.2,0.0094947200268507,0.9498761183456369
"[256, 256, 256]",199,256,0.001,0.0,0.012837941758334637,0.9448818499289832
"[256, 256, 256]",161,256,0.001,0.1,0.009688258171081543,0.9548967134342045
"[256, 256, 256]",110,256,0.001,0.2,0.01960160955786705,0.8943073528217788
"[256, 512, 256]",10,16,0.01,0.0,0.005863897502422333,0.9748199953794275
"[256, 512, 256]",8,16,0.01,0.1,0.005219781771302223,0.9775907174283669
"[256, 512, 256]",14,16,0.01,0.2,0.006940326187759638,0.9646407016863742
"[256, 512, 256]",27,16,0.001,0.0,0.010365521535277367,0.9558423396038699
"[256, 512, 256]",38,16,0.001,0.1,0.006799366790801287,0.9693171340498392
"[256, 512, 256]",47,16,0.001,0.2,0.007976473309099674,0.9605662860853644
"[256, 512, 256]",9,32,0.01,0.0,0.0063409809954464436,0.9714163303243822
"[256, 512, 256]",22,32,0.01,0.1,0.005558756645768881,0.9738909052006101
"[256, 512, 256]",19,32,0.01,0.2,0.005967299919575453,0.9714101943681268
"[256, 512, 256]",53,32,0.001,0.0,0.011115417815744877,0.9521385303439673
"[256, 512, 256]",83,32,0.001,0.1,0.006567826960235834,0.9704118244082252
"[256, 512, 256]",29,32,0.001,0.2,0.012570132501423359,0.9359576878909441
"[256, 512, 256]",12,64,0.01,0.0,0.006487376522272825,0.9719460907318052
"[256, 512, 256]",22,64,0.01,0.1,0.005393130239099264,0.9757567481948826
"[256, 512, 256]",18,64,0.01,0.2,0.008321307599544525,0.958740526488824
"[256, 512, 256]",116,64,0.001,0.0,0.012312514707446098,0.9478486619544038
"[256, 512, 256]",79,64,0.001,0.1,0.008316971361637115,0.9613897349429545
"[256, 512, 256]",84,64,0.001,0.2,0.012808503583073616,0.933590766648715
"[256, 512, 256]",36,128,0.01,0.0,0.0061456067487597466,0.9731010442916476
"[256, 512, 256]",35,128,0.01,0.1,0.006048852577805519,0.9717108541894292
"[256, 512, 256]",23,128,0.01,0.2,0.008528675884008408,0.9567910328756498
"[256, 512, 256]",172,128,0.001,0.0,0.012057305313646793,0.9489987267889092
"[256, 512, 256]",122,128,0.001,0.1,0.00917135551571846,0.9576555665819944
"[256, 512, 256]",38,128,0.001,0.2,0.024598658084869385,0.8661456817635547
"[256, 512, 256]",42,256,0.01,0.0,0.0066568790934979916,0.9705070941984153
"[256, 512, 256]",54,256,0.01,0.1,0.006127363070845604,0.9712939779465883
"[256, 512, 256]",51,256,0.01,0.2,0.008194097317755222,0.9577403277137462
"[256, 512, 256]",200,256,0.001,0.0,0.013243628665804863,0.9428669684333517
"[256, 512, 256]",152,256,0.001,0.1,0.01106188539415598,0.948323059718131
"[256, 512, 256]",100,256,0.001,0.2,0.019465263932943344,0.8998146858425651
"[512, 256, 128]",9,16,0.01,0.0,0.005424458999186754,0.97607545533104
"[512, 256, 128]",11,16,0.01,0.1,0.005294002126902342,0.975231601147458
"[512, 256, 128]",16,16,0.01,0.2,0.005130418576300144,0.9754976035728231
"[512, 256, 128]",24,16,0.001,0.0,0.009817899204790592,0.9573496458003212
"[512, 256, 128]",92,16,0.001,0.1,0.004737615119665861,0.9787599429708614
"[512, 256, 128]",74,16,0.001,0.2,0.004729948006570339,0.9789724730222841
"[512, 256, 128]",9,32,0.01,0.0,0.006075783632695675,0.9737329386535315
"[512, 256, 128]",16,32,0.01,0.1,0.00494284788146615,0.9777998390202371
"[512, 256, 128]",18,32,0.01,0.2,0.005469158291816711,0.9733785258824246
"[512, 256, 128]",42,32,0.001,0.0,0.010540041141211987,0.954246522850939
"[512, 256, 128]",136,32,0.001,0.1,0.005599644035100937,0.9747888723953438
"[512, 256, 128]",57,32,0.001,0.2,0.006238276604562998,0.9716010988750263
"[512, 256, 128]",14,64,0.01,0.0,0.005573067348450422,0.9750512419758768
"[512, 256, 128]",43,64,0.01,0.1,0.004866146948188543,0.9782901247755796
"[512, 256, 128]",20,64,0.01,0.2,0.005437958985567093,0.974084545891519
"[512, 256, 128]",79,64,0.001,0.0,0.011194235645234585,0.9514037588762847
"[512, 256, 128]",129,64,0.001,0.1,0.005957577843219042,0.9734578800635199
"[512, 256, 128]",63,64,0.001,0.2,0.0073202368803322315,0.9657006507165757
"[512, 256, 128]",23,128,0.01,0.0,0.005722498055547476,0.9747396852516613
"[512, 256, 128]",50,128,0.01,0.1,0.005284999962896109,0.9761751084980368
"[512, 256, 128]",23,128,0.01,0.2,0.006296160630881786,0.9696241430669419
"[512, 256, 128]",190,128,0.001,0.0,0.011556871235370636,0.9499417358298312
"[512, 256, 128]",153,128,0.001,0.1,0.006884338334202766,0.9692814740205903
"[512, 256, 128]",64,128,0.001,0.2,0.010051975026726723,0.9522224763601365
"[512, 256, 128]",46,256,0.01,0.0,0.006674893666058779,0.9711588109449721
"[512, 256, 128]",64,256,0.01,0.1,0.005587875843048096,0.9745151502958038
"[512, 256, 128]",49,256,0.01,0.2,0.006282330024987459,0.969881896238073
"[512, 256, 128]",200,256,0.001,0.0,0.011792420409619808,0.9488251938536229
"[512, 256, 128]",199,256,0.001,0.1,0.00787909422069788,0.9645017869040055
"[512, 256, 128]",131,256,0.001,0.2,0.010539819486439228,0.9493739498163045
"[512, 256, 512]",9,16,0.01,0.0,0.005633664783090353,0.975115439641882
"[512, 256, 512]",8,16,0.01,0.1,0.005531189031898975,0.9750833115368369
"[512, 256, 512]",2,16,0.01,0.2,0.008890997618436813,0.9533942778461028
"[512, 256, 512]",31,16,0.001,0.0,0.009476492181420326,0.9589437274188176
"[512, 256, 512]",32,16,0.001,0.1,0.007912235334515572,0.9624504637746175
"[512, 256, 512]",24,16,0.001,0.2,0.014077526517212391,0.9268699962817397
"[512, 256, 512]",9,32,0.01,0.0,0.005828713066875935,0.9745597077049178
"[512, 256, 512]",19,32,0.01,0.1,0.005777810700237751,0.9722381881931873
"[512, 256, 512]",12,32,0.01,0.2,0.010108710266649723,0.9457725469780182
"[512, 256, 512]",51,32,0.001,0.0,0.012060166336596012,0.9484940693407414
"[512, 256, 512]",37,32,0.001,0.1,0.008261472918093204,0.9611940531905747
"[512, 256, 512]",22,32,0.001,0.2,0.017252858728170395,0.9072001383307662
"[512, 256, 512]",12,64,0.01,0.0,0.006501302123069763,0.971484764970981
"[512, 256, 512]",17,64,0.01,0.1,0.006103217136114836,0.971500110833833
"[512, 256, 512]",9,64,0.01,0.2,0.013114470057189465,0.9300169537589708
"[512, 256, 512]",81,64,0.001,0.0,0.011637376621365547,0.949189074114863
"[512, 256, 512]",64,64,0.001,0.1,0.009259935468435287,0.9562144860990912
"[512, 256, 512]",32,64,0.001,0.2,0.02035035938024521,0.8895931005899979
"[512, 256, 512]",21,128,0.01,0.0,0.007320196833461523,0.967694496303838
"[512, 256, 512]",30,128,0.01,0.1,0.006934722885489464,0.9671007623648447
"[512, 256, 512]",19,128,0.01,0.2,0.01574891060590744,0.9090513859168331
"[512, 256, 512]",141,128,0.001,0.0,0.011804197914898396,0.9495228340290214
"[512, 256, 512]",104,128,0.001,0.1,0.00983173493295908,0.9535687904288205
"[512, 256, 512]",36,128,0.001,0.2,0.02665581926703453,0.8547750592762801
"[512, 256, 512]",39,256,0.01,0.0,0.007448624353855848,0.9672768496143851
"[512, 256, 512]",25,256,0.01,0.1,0.007903281599283218,0.9621761850840224
"[512, 256, 512]",29,256,0.01,0.2,0.014227568171918392,0.9230505404822961
"[512, 256, 512]",198,256,0.001,0.0,0.01375045906752348,0.9404019578348016
"[512, 256, 512]",95,256,0.001,0.1,0.012917282059788704,0.9399202842976561
"[512, 256, 512]",75,256,0.001,0.2,0.025850484147667885,0.8619858064071161
"[512, 512, 512]",6,16,0.01,0.0,0.006147181615233421,0.973669570391538
"[512, 512, 512]",7,16,0.01,0.1,0.005335887894034386,0.9759359417202794
"[512, 512, 512]",7,16,0.01,0.2,0.006972543895244598,0.9683812664109419
"[512, 512, 512]",28,16,0.001,0.0,0.011044144630432129,0.9519306296262009
"[512, 512, 512]",28,16,0.001,0.1,0.00693897157907486,0.9688787225478876
"[512, 512, 512]",36,16,0.001,0.2,0.010980779305100441,0.9445141834226077
"[512, 512, 512]",10,32,0.01,0.0,0.006216015201061964,0.9724328675297564
"[512, 512, 512]",25,32,0.01,0.1,0.00532790832221508,0.9746658354551474
"[512, 512, 512]",7,32,0.01,0.2,0.007599367760121822,0.9637309847732101
"[512, 512, 512]",42,32,0.001,0.0,0.011790177784860134,0.9487341401648497
"[512, 512, 512]",60,32,0.001,0.1,0.007572663947939873,0.9654345900720465
"[512, 512, 512]",18,32,0.001,0.2,0.01947568915784359,0.8999252357880897
"[512, 512, 512]",14,64,0.01,0.0,0.0066178105771541595,0.9705682639646589
"[512, 512, 512]",24,64,0.01,0.1,0.006017015315592289,0.9720554965923295
"[512, 512, 512]",12,64,0.01,0.2,0.008261565119028091,0.959099086881872
"[512, 512, 512]",92,64,0.001,0.0,0.011439437046647072,0.9500061460354855
"[512, 512, 512]",78,64,0.001,0.1,0.008639736101031303,0.9596798763285934
"[512, 512, 512]",72,64,0.001,0.2,0.016536174342036247,0.9146847501142898
"[512, 512, 512]",25,128,0.01,0.0,0.0072671351954340935,0.9684028010380987
"[512, 512, 512]",31,128,0.01,0.1,0.006485116668045521,0.9692862399040623
"[512, 512, 512]",13,128,0.01,0.2,0.013533646240830421,0.9284127306171135
"[512, 512, 512]",177,128,0.001,0.0,0.011884840205311775,0.9488559165811399
"[512, 512, 512]",79,128,0.001,0.1,0.010968928225338459,0.949088267662423
"[512, 512, 512]",57,128,0.001,0.2,0.02162078022956848,0.8889213317993513
"[512, 512, 512]",34,256,0.01,0.0,0.007407210301607847,0.9675685375687323
"[512, 512, 512]",61,256,0.01,0.1,0.006565299816429615,0.9694924418312829
"[512, 512, 512]",29,256,0.01,0.2,0.014024633914232254,0.9233768548153688
"[512, 512, 512]",200,256,0.001,0.0,0.01240628957748413,0.9465846731138043
"[512, 512, 512]",90,256,0.001,0.1,0.014356574043631554,0.9330645120747479
"[512, 512, 512]",85,256,0.001,0.2,0.027562879025936127,0.8584327036626787
