batch size,n_a,n_d,validation mse,test mse,test r2 score
128,8,8,0.00784,0.007851727118824916,0.965189999772701
128,8,16,0.00684,0.006910007359321311,0.9693650385312154
128,8,32,0.00601,0.005941967739238877,0.973656764273226
128,16,8,0.00493,0.005096298590849427,0.9774059703780941
128,16,16,0.00894,0.00884916219848996,0.9607679516265535
128,16,32,0.00554,0.005529535617961595,0.9754852488879023
128,32,8,0.00795,0.007315689598270339,0.9675664789765706
128,32,16,0.00884,0.008909606562441597,0.9604999764038982
128,32,32,0.00612,0.006319882364614267,0.9719813101984561
256,8,8,0.00593,0.005769941520615205,0.974419428667794
256,8,16,0.00722,0.007287834580769209,0.9676899719547232
256,8,32,0.00743,0.007864049462806869,0.9651353696524331
256,16,8,0.00844,0.008070935121093303,0.9642181587378167
256,16,16,0.01101,0.011044849664183528,0.9510335479694751
256,16,32,0.007,0.0066498707565728265,0.9705183332221494
256,32,8,0.00727,0.006838100139695569,0.9696838334019026
256,32,16,0.00725,0.007289713673646886,0.9676816411476906
256,32,32,0.00593,0.005925806907534169,0.9737284120198684